bread,milk,cookie,,,,,
bread,diaper,beer,egg,,,,
milk,diaper,beer,coke,,,,
bread,milk,diaper,beer,cookie,,,
bread,milk,diaper,coke,cookie,,,
eggs,pet food,,,,,,
turkey,eggs,,,,,,
pickles,spaghetti,salmon,escalope,,,,
energy bar,french fries,,,,,,
mineral water,chocolate,avocado,eggs,,,,
soup,avocado,french fries,hot dogs,brownies,body spray,pancakes,green tea
eggs,cookies,,,,,,
turkey,eggs,,,,,,
bread,milk,cookie,eggs,,,,
bread,milk,cookie,soup,,,,
bread,milk,cookie,,,,,
turkey,eggs,,,,,,
eggs,cookies,,,,,,
milk,diaper,bread,,,,,
bread,diaper,,,,,,
bread,milk,cookie,avocado,,,,
bread,milk,cookie,,,,,
bread,milk,cookie,eggs,,,,
